Title Code,Title Description,Standard Hours,Assignment Level,Union Code,Union Description,Bargaining Unit Short Name,Bargaining Unit Description,Minimum Salary Rate,Maximum Salary Rate
06185,DEPUTY DIRECTOR OF PROBATION (,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06217,SENIOR OCCUPATIONAL THERAPIST,32,0,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,"62,951.00","64,403.00"
06217,SENIOR OCCUPATIONAL THERAPIST,35,0,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,"37,400.00","41,403.00"
06240,CASE MANAGEMENT NURSE (DOC),35,1,75,STAFF NURSE NEW YORK STATE NUR,NYNA,New York State Nurses Assoc,"82,071.00","82,071.00"
06240,CASE MANAGEMENT NURSE (DOC),35,2,75,STAFF NURSE NEW YORK STATE NUR,NYNA,New York State Nurses Assoc,"85,160.00","85,160.00"
06242,EXECUTIVE ASSISTANT TO THE FIR,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"18,000.00","20,000.00"
06311,DIRECTOR OF AUDITS (OFFICE OF,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06314,INCINERATOR FACILITY MANAGER (,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35,1,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"48,637.00","63,702.00"
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35,2,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"58,167.00","72,011.00"
06316,INVESTIGATOR(DISCP)(ONLY FOR P,35,3,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"69,245.00","89,822.00"
06361,DEPUTY ASSISTANT COUNSEL (OLR),35,1,665,TEMPORARY OJ,N/U,Non-Union,"70,519.00","93,613.00"
06361,DEPUTY ASSISTANT COUNSEL (OLR),35,2,665,TEMPORARY OJ,N/U,Non-Union,"80,114.00","103,803.00"
06361,DEPUTY ASSISTANT COUNSEL (OLR),35,3,665,TEMPORARY OJ,N/U,Non-Union,"91,490.00","113,978.00"
06361,DEPUTY ASSISTANT COUNSEL (OLR),35,4,665,TEMPORARY OJ,N/U,Non-Union,"92,747.00","129,349.00"
06393,STAFF ASSISTANT (OFFICE OF THE,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"34,000.00","89,254.00"
06401,DIRECTOR OF ADMINISTRATION (LA,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06402,DEPUTY DIRECTOR OF ADMINISTRAT,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06405,MAYORAL OFFICE ASSISTANT,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"27,643.00","70,567.00"
06407,EXECUTIVE DIRECTOR OF FOOD SER,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06423,MAYORAL PROGRAM COORDINATOR (M,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"43,574.00","76,986.00"
06426,FIELD INVESTIGATION SPECIALIST,35,1,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"48,543.00","63,590.00"
06426,FIELD INVESTIGATION SPECIALIST,35,2,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"58,057.00","71,875.00"
06426,FIELD INVESTIGATION SPECIALIST,35,3,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"69,111.00","89,648.00"
06429,SECRETARY TO PUBLIC ADMINISTRA,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"33,781.00","45,731.00"
06431,SPECIAL ASSISTANT TO THE BOROU,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06433,DEPUTY COMMISSIONER (CDCSA),35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06449,SECRETARY OF COMMISSIONER (CDC,35,0,665,TEMPORARY OJ,N/U,Non-Union,"55,612.00","93,932.00"
06458,DEPUTY EXECUTIVE DIRECTOR CAMP,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06462,DEPUTY DIRECTOR OF ADMIN WORKE,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06463,SECRETARY TO THE EXECUTIVE DIR,35,0,665,TEMPORARY OJ,N/U,Non-Union,"57,751.00","82,518.00"
06470,DIRECTOR OF PUBLIC RELATIONS (,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06489,DEPUTY COMMISSIONER FOR LAW EN,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06490,DEP COMMISSIONER FOR COMMUNITY,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06517,SENIOR STUDENT LEGAL SPECIALIS,35,0,19,ATTORNEYSCSBA 237 IBT,IBT,Intl Brotherhood of Teamsters,"58,368.00","58,368.00"
06547,CONFIDENTIAL INVESTIGATOR (CON,35,1,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"48,650.00","64,693.00"
06547,CONFIDENTIAL INVESTIGATOR (CON,35,2,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"58,186.00","73,140.00"
06547,CONFIDENTIAL INVESTIGATOR (CON,35,3,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"69,266.00","91,221.00"
06550,SPECIAL COMMISSIONER OF INVEST,35,0,779,BOE MANAGERIAL/EXEMPT,N/U,Non-Union,"46,343.00","150,148.00"
06558,ASST DIRECTOR OF INTERGOVERMEN,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06580,CHAUFFEUR-ATTENDANT (BOARD OF,40,0,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"23,961.00","35,770.00"
06591,MEDICOLEGAL ANALYST (LAW DEPT),35,1,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"68,811.00","84,255.00"
06591,MEDICOLEGAL ANALYST (LAW DEPT),35,2,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"74,998.00","89,805.00"
06593,FOOD SERVICE ADMINISTRATOR (DC,35,0,121,L237 INSTITUTIONAL TITLES,IBT,Intl Brotherhood of Teamsters,"76,595.00","86,171.00"
06597,ASSISTANT RACKETS INVESTIGATOR,40,0,681,DA-NON-MAYOR SALARY/TEMPORARY,N/U,Non-Union,"33,000.00","113,500.00"
06601,ANALYST CFB AL 1 ONLY,35,1,128,CLERICAL TITLES DC37,DC37,District Council 37,"34,528.00","60,133.00"
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35,1,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,"40,037.00","60,095.00"
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35,2,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,"51,799.00","86,315.00"
06602,SYSTEMS ADMINISTRATOR-CAM FIN,35,3,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,"63,183.00","113,171.00"
06603,ADMIN ASST-CAMPAIGN FIN BOARD,35,1,128,CLERICAL TITLES DC37,DC37,District Council 37,"32,432.00","56,398.00"
06603,ADMIN ASST-CAMPAIGN FIN BOARD,35,2,128,CLERICAL TITLES DC37,DC37,District Council 37,"39,901.00","73,268.00"
06604,ATTORNEY-CAMPAIGN FIN BOARD,35,1,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"63,210.00","98,537.00"
06604,ATTORNEY-CAMPAIGN FIN BOARD,35,2,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"76,826.00","148,098.00"
0660A,ANALYST CFB AL 2&3 ONLY,35,2,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"37,296.00","79,863.00"
0660A,ANALYST CFB AL 2&3 ONLY,35,3,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"58,968.00","108,465.00"
06611,NURSE PRACTITIONER(DEPT HEALTH,35,1,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,"72,634.00","100,521.00"
06611,NURSE PRACTITIONER(DEPT HEALTH,35,2,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,"77,717.00","104,409.00"
06611,NURSE PRACTITIONER(DEPT HEALTH,35,3,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,"83,346.00","111,231.00"
06612,SECRETARY TO THE SPECIAL COMMI,35,0,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,"53,793.00","80,000.00"
06638,SECRETARY TO THE CHAIRPERSON (,35,0,665,TEMPORARY OJ,N/U,Non-Union,"55,612.00","88,123.00"
06656,SPECIAL EXAMINER (PHYSICAL TES,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,10.00,99.00
06663,POISON INFORMATION SPECIALIST(,37.5,1,87,PHARMACISTS AND DIETITIAN D119,WDSU,Nat'l U/Hospital&Healthcare EE,"75,932.00","86,525.00"
06663,POISON INFORMATION SPECIALIST(,37.5,2,87,PHARMACISTS AND DIETITIAN D119,WDSU,Nat'l U/Hospital&Healthcare EE,"81,228.00","91,824.00"
06663,POISON INFORMATION SPECIALIST(,37.5,3,87,PHARMACISTS AND DIETITIAN D119,WDSU,Nat'l U/Hospital&Healthcare EE,"90,058.00","100,654.00"
06663,POISON INFORMATION SPECIALIST(,37.5,4,87,PHARMACISTS AND DIETITIAN D119,WDSU,Nat'l U/Hospital&Healthcare EE,"93,589.00","104,185.00"
06664,PLAYGROUND ASSOCIATE,35,0,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,20.38,27.68
06668,SPECIAL EXAMINER (DCAS),35,0,665,TEMPORARY OJ,N/U,Non-Union,10.00,"1,000.00"
0667A,HEARING OFFICER (PVB - NOT EMP,1,0,660,PART TIME OJ,N/U,Non-Union,54.93,54.93
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35,1,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"48,650.00","64,693.00"
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35,2,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"58,186.00","73,140.00"
06688,INVESTIGATOR (EMPLOYEE DISCIPL,35,3,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"69,266.00","91,221.00"
06689,SPECIAL ASSISTANT (OFFICE OF T,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"78,360.03","78,360.03"
0668A,Special Assistant (MA)-MGRL,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
06692,CHIEF OF STAFF (OFFICE OF THE,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06697,SECRETARY TO THE DEPUTY COMMIS,35,0,665,TEMPORARY OJ,N/U,Non-Union,"48,096.00","81,075.00"
06706,DEPUTY COMMISSIONER (DDC),35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06707,DEPUTY COMMISSIONER FOR POLICY,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06710,ASSISTANT BUDGET ANALYST (COMP,35,0,665,TEMPORARY OJ,N/U,Non-Union,"39,698.00","84,395.00"
06711,BUDGET ANALYST (COMPTROLLER),35,0,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"59,279.00","108,898.00"
06712,ASSISTANT BUDGET ANALYST (IBO),35,0,665,TEMPORARY OJ,N/U,Non-Union,"39,698.00","84,395.00"
06713,BUDGET ANALYST (IBO),35,0,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"59,279.00","108,898.00"
06719,SUPERVISING ACCOUNTANT INVESTI,35,0,679,DA-NON-MAYOR SALARY/NON-COMPET,N/U,Non-Union,"75,205.00","102,393.00"
0671A,BUDGET ANALYST (IBO) ((MANAGER,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06730,SECRETARY TO THE FIRST ASSISTA,35,0,665,TEMPORARY OJ,N/U,Non-Union,"68,430.00","86,845.00"
06733,DEPUTY CHIEF RACKETS INVESTIGA,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06738,SECRETARY TO THE FIRST DEPUTY,35,0,665,TEMPORARY OJ,N/U,Non-Union,"43,543.00","80,816.00"
06742,DEPUTY CITY CLERK (STATEN ISLA,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
06745,SCHOOL BUSINESS MANAGER,35,1,414,DISTR BUSN MG BD ED LOCAL 1180,CWA,Communication Wrkrs of America,"48,300.00","63,262.00"
06745,SCHOOL BUSINESS MANAGER,35,2,414,DISTR BUSN MG BD ED LOCAL 1180,CWA,Communication Wrkrs of America,"62,695.00","77,957.00"
06752,NYCAPS PROCESS ANALYST,35,1,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"75,948.00","101,263.00"
06752,NYCAPS PROCESS ANALYST,35,2,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,"99,930.00","133,242.00"
06753,MARINE ELECTRONICS TECHNICIAN,40,0,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,"99,613.00","128,073.00"
0675B,NYCAPS Process Analyst (DCAS C,35,1,665,TEMPORARY OJ,N/U,Non-Union,"81,113.00","108,151.00"
0675B,NYCAPS Process Analyst (DCAS C,35,2,665,TEMPORARY OJ,N/U,Non-Union,"106,729.00","149,420.00"
06763,FIRST DEPUTY COMMISSIONER (OEM,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06764,DEPUTY COMMISSIONER (OEM),35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
06765,EMERGENCY PREPAREDNESS MANAGER,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06766,EMERGENCY PREPAREDNESS SPECIAL,35,1,665,TEMPORARY OJ,N/U,Non-Union,"54,077.00","82,538.00"
06766,EMERGENCY PREPAREDNESS SPECIAL,35,2,665,TEMPORARY OJ,N/U,Non-Union,"71,152.00","113,843.00"
06770,SECRETARY TO THE CHIEF ACTUARY,35,0,665,TEMPORARY OJ,N/U,Non-Union,"54,364.00","89,425.00"
06771,PROTECTION AGENT (ACS),40,1,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"66,809.00","89,113.00"
06771,PROTECTION AGENT (ACS),40,2,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"70,324.00","91,912.00"
06776,FAMILY PUB HEALTH NURSE (HMH),35,0,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,"88,780.00","88,780.00"
06780,ASSOCIATE EXECUTIVE DIRECTOR (,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06782,EXECUTIVE DIRECTOR OF MATERIAL,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06784,EXECUTIVE ASST-DOMESTIC VIOLEN,35,0,665,TEMPORARY OJ,N/U,Non-Union,"41,512.00","83,382.00"
06792,SECRETARY TO THE DEPUTY CHAIR,35,0,665,TEMPORARY OJ,N/U,Non-Union,"44,569.00","89,066.00"
06793,CONFIDENTIAL AGENCY INVESTIGAT,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06794,INVESTMENT TRUSTEE - DEFERRED,1,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,1.00,1.00
06801,PUBLIC HEALTH/PREVENTIVE MEDIC,35,1,665,TEMPORARY OJ,N/U,Non-Union,"70,480.00","90,107.00"
06801,PUBLIC HEALTH/PREVENTIVE MEDIC,35,2,665,TEMPORARY OJ,N/U,Non-Union,"74,267.00","95,515.00"
06802,EXECUTIVE DIRECTOR (FDNY PENSI,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
06803,DEPUTY EXECUTIVE DIRECTOR (FDN,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
06804,EXECUTIVE PROGRAM SPECIALIST (,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
06808,DEPUTY DIRECTOR OF MEDICOLEGAL,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
06809,CHIEF OF STAFF - MAYOR'S OFFIC,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
0680A,PUBLIC HEALTH/PREVENTIVE MEDIC,35,0,665,TEMPORARY OJ,N/U,Non-Union,"69,798.00","91,503.00"
06810,DIRECTOR OF IMMIGRANT AFFAIRS,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06811,DIRECTOR OF OFFICE FOR PEOPLE,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06812,COMMISSIONER OF DEPARTMENT OF,35,0,774,UNCLASSIFIED MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
06813,COMMISS OF THE OFF TO END DOME,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06814,CHIEF SERVICE OFFICER (MA),35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06815,SENIOR POLICY ADVISOR TO THE M,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06816,DIRECTOR OF CRIMINAL JUSTICE (,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
06818,EXECUTIVE DIRECTOR ON COMMISSI,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06819,SENIOR ADVISOR TO THE MAYOR (M,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06820,DECEDENT PROPERTY AGENT (PANYC,35,0,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,"46,316.00","61,936.00"
06821,ASSISTANT COMMISSIONER (CULTUR,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06822,ASSISTANT COMMISSIONER (DOITT),35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06823,DIRECTOR FOR EQUAL EMPLOYEMENT,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
06824,Executive Program Specialist (,35,0,773,EXEMPT MANAGER,N/U,Non-Union,"63,301.00","252,165.00"
